
# Surface 0 of 1 surfaces

# Curve title: "X(u,v),Y(u,v),Z(v)"
# IsoCurve 0, 25 points
# x y z type
 66.9352  17.9352 -69.2965 i
 60.0125  34.6482 -69.2965 i
 49  49 -69.2965 i
 34.6482  60.0125 -69.2965 i
 17.9352  66.9352 -69.2965 i
 4.24318e-15  69.2965 -69.2965 i
-17.9352  66.9352 -69.2965 i
-34.6482  60.0125 -69.2965 i
-49  49 -69.2965 i
-60.0125  34.6482 -69.2965 i
-66.9352  17.9352 -69.2965 i
-69.2965  8.48637e-15 -69.2965 i
-66.9352 -17.9352 -69.2965 i
-60.0125 -34.6482 -69.2965 i
-49 -49 -69.2965 i
-34.6482 -60.0125 -69.2965 i
-17.9352 -66.9352 -69.2965 i
-1.27296e-14 -69.2965 -69.2965 i
 17.9352 -66.9352 -69.2965 i
 34.6482 -60.0125 -69.2965 i
 49 -49 -69.2965 i
 60.0125 -34.6482 -69.2965 i
 66.9352 -17.9352 -69.2965 i
 69.2965 -1.69727e-14 -69.2965 i

# IsoCurve 7, 25 points
# x y z type
 77.7486  0 -59.6586 i
 75.0994  20.1228 -59.6586 i
 67.3323  38.8743 -59.6586 i
 54.9766  54.9766 -59.6586 i
 38.8743  67.3323 -59.6586 i
 20.1228  75.0994 -59.6586 i
 4.76073e-15  77.7486 -59.6586 i
-20.1228  75.0994 -59.6586 i
-38.8743  67.3323 -59.6586 i
-54.9766  54.9766 -59.6586 i
-67.3323  38.8743 -59.6586 i
-75.0994  20.1228 -59.6586 i
-77.7486  9.52146e-15 -59.6586 i
-75.0994 -20.1228 -59.6586 i
-67.3323 -38.8743 -59.6586 i
-54.9766 -54.9766 -59.6586 i
-38.8743 -67.3323 -59.6586 i
-20.1228 -75.0994 -59.6586 i
-1.42822e-14 -77.7486 -59.6586 i
 20.1228 -75.0994 -59.6586 i
 38.8743 -67.3323 -59.6586 i
 54.9766 -54.9766 -59.6586 i
 67.3323 -38.8743 -59.6586 i
 75.0994 -20.1228 -59.6586 i
 77.7486 -1.90429e-14 -59.6586 i

# IsoCurve 8, 25 points
# x y z type
 84.8705  0 -49 i
 81.9786  21.9661 -49 i
 73.5  42.4352 -49 i
 60.0125  60.0125 -49 i
 42.4352  73.5 -49 i
 21.9661  81.9786 -49 i
 5.19682e-15  84.8705 -49 i
-21.9661  81.9786 -49 i
-42.4352  73.5 -49 i
-60.0125  60.0125 -49 i
-73.5  42.4352 -49 i
-81.9786  21.9661 -49 i
-84.8705  1.03936e-14 -49 i
-81.9786 -21.9661 -49 i
-73.5 -42.4352 -49 i
-60.0125 -60.0125 -49 i
-42.4352 -73.5 -49 i
-21.9661 -81.9786 -49 i
-1.55905e-14 -84.8705 -49 i
 21.9661 -81.9786 -49 i
 42.4352 -73.5 -49 i
 60.0125 -60.0125 -49 i
 73.5 -42.4352 -49 i
 81.9786 -21.9661 -49 i
 84.8705 -2.07873e-14 -49 i

# IsoCurve 9, 25 points
# x y z type
 90.5402  0 -37.503 i
 87.4551  23.4335 -37.503 i
 78.4101  45.2701 -37.503 i
 64.0216  64.0216 -37.503 i
 45.2701  78.4101 -37.503 i
 23.4335  87.4551 -37.503 i
 5.54399e-15  90.5402 -37.503 i
-23.4335  87.4551 -37.503 i
-45.2701  78.4101 -37.503 i
-64.0216  64.0216 -37.503 i
-78.4101  45.2701 -37.503 i
-87.4551  23.4335 -37.503 i
-90.5402  1.1088e-14 -37.503 i
-87.4551 -23.4335 -37.503 i
-78.4101 -45.2701 -37.503 i
-64.0216 -64.0216 -37.503 i
-45.2701 -78.4101 -37.503 i
-23.4335 -87.4551 -37.503 i
-1.6632e-14 -90.5402 -37.503 i
 23.4335 -87.4551 -37.503 i
 45.2701 -78.4101 -37.503 i
 64.0216 -64.0216 -37.503 i
 78.4101 -45.2701 -37.503 i
 87.4551 -23.4335 -37.503 i
 90.5402 -2.2176e-14 -37.503 i

# IsoCurve 10, 25 points
# x y z type
 94.6607  0 -25.3643 i
 91.4352  24.5 -25.3643 i
 81.9786  47.3304 -25.3643 i
 66.9352  66.9352 -25.3643 i
 47.3304  81.9786 -25.3643 i
 24.5  91.4352 -25.3643 i
 5.7963e-15  94.6607 -25.3643 i
-24.5  91.4352 -25.3643 i
-47.3304  81.9786 -25.3643 i
-66.9352  66.9352 -25.3643 i
-81.9786  47.3304 -25.3643 i
-91.4352  24.5 -25.3643 i
-94.6607  1.15926e-14 -25.3643 i
-91.4352 -24.5 -25.3643 i
-81.9786 -47.3304 -25.3643 i
-66.9352 -66.9352 -25.3643 i
-47.3304 -81.9786 -25.3643 i
-24.5 -91.4352 -25.3643 i
-1.73889e-14 -94.6607 -25.3643 i
 24.5 -91.4352 -25.3643 i
 47.3304 -81.9786 -25.3643 i
 66.9352 -66.9352 -25.3643 i
 81.9786 -47.3304 -25.3643 i
 91.4352 -24.5 -25.3643 i
 94.6607 -2.31852e-14 -25.3643 i

# IsoCurve 11, 25 points
# x y z type
 97.1616  0 -12.7916 i
